Id,Longitude,Latitude,Accuracy,TimeStamp,Date,DateTime,IsGPSOn,BatLevel,Provider,Bearing,DeviceTime,RepId
40,80.10082,6.13844,5.5,1745950308000,29/04/2025 12:00:00 AM,29/04/2025 6:11:48 PM,True,55,gps,135.2,29/04/2025 11:41:47 PM,373
41,80.10075,6.1385,5.5,1745950388000,29/04/2025 12:00:00 AM,29/04/2025 6:13:08 PM,True,55,gps,327.8,29/04/2025 11:43:07 PM,373
42,80.10083,6.13844,5,1745950422000,29/04/2025 12:00:00 AM,29/04/2025 6:13:42 PM,True,55,gps,127.5,29/04/2025 11:43:41 PM,373
43,80.10066,6.13851,122.596,1745950604880,29/04/2025 12:00:00 AM,29/04/2025 6:16:45 PM,True,55,network,0,29/04/2025 11:46:44 PM,373
44,80.10082,6.13846,5.5,1745950608199,29/04/2025 12:00:00 AM,29/04/2025 6:16:48 PM,True,55,gps,0,29/04/2025 11:46:47 PM,373
45,80.10068,6.13852,119.075,1745950904876,29/04/2025 12:00:00 AM,29/04/2025 6:21:45 PM,True,55,network,0,29/04/2025 11:51:44 PM,373
46,80.10081,6.13844,4,1745950908180,29/04/2025 12:00:00 AM,29/04/2025 6:21:48 PM,True,55,gps,0,29/04/2025 11:51:47 PM,373
47,80.10066,6.13851,20,1745950992076,29/04/2025 12:00:00 AM,29/04/2025 6:23:12 PM,True,55,network,0,29/04/2025 11:53:12 PM,373
48,80.10066,6.13851,109.726,1745951204880,29/04/2025 12:00:00 AM,29/04/2025 6:26:45 PM,True,55,network,0,29/04/2025 11:56:44 PM,373
49,80.10075,6.13843,5,1745951208202,29/04/2025 12:00:00 AM,29/04/2025 6:26:48 PM,True,55,gps,250.7,29/04/2025 11:56:47 PM,373
50,80.10084,6.13842,5.5,1745951270000,29/04/2025 12:00:00 AM,29/04/2025 6:27:50 PM,True,55,gps,83.4,29/04/2025 11:57:49 PM,373
